"","full_name","castaway_id","castaway","version","version_season","season_name","season","age","city","state","episode","day","order","result","jury_status","original_tribe","date_of_birth","date_of_death","gender","race","ethnicity","poc","occupation","personality_type","screen_time_ep1","confessional_count_ep1","ncontestants","age_group","OUT"
"793","Rachel Foulger","US0399","Rachel","US","US27","Survivor: Blood vs. Water",27,33,"Provo","Utah",2,6,5,"4th voted out",NA,"Tadhana",1979-07-28,NA,"Female",NA,NA,"White","Cocktail Waitress/Graphic Designer","ISFJ",NA,2,23,"30-34",NA
"794","Rafe Judkins","US0165","Rafe","US","US11","Survivor: Guatemala",11,22,"Pittsburgh","Pennsylvania",14,38,16,"16th voted out","7th jury member","Yaxha",1983-01-08,NA,"Male",NA,NA,"White","Wilderness Guide","INFP",NA,2,18,"22-25",NA
"795","Ralph Kiser","US0331","Ralph","US","US22","Survivor: Redemption Island",22,45,"Lebanon","Virginia",11,30,12,"12th voted out","4th jury member","Zapatera",1965-10-27,2022-04-20,"Male",NA,NA,"White","Farmer","ESTP",NA,2,20,"40-44",NA
"796","Ramona Gray","US0004","Ramona","US","US01","Survivor: Borneo",1,29,"Edison","New Jersey",4,12,4,"4th voted out",NA,"Pagong",1971-01-20,NA,"Female","Black",NA,"POC","Biochemist/Chemist","ISTJ",NA,2,16,"26-29",NA
"797","Randy Bailey","US0258","Randy","US","US17","Survivor: Gabon",17,49,"Eagle Rock","Missouri",9,30,11,"11th voted out","3rd jury member","Fang",1959-03-31,NA,"Male",NA,NA,"White","Wedding Videographer","INTJ",NA,10,18,"45-50",NA
"798","Randy Bailey","US0258","Randy","US","US20","Survivor: Heroes vs. Villains",20,50,"Austin","Texas",3,8,3,"3rd voted out",NA,"Villains",1959-03-31,NA,"Male",NA,NA,"White","Wedding Videographer","INTJ",NA,1,20,"45-50",NA
"799","Rebecca Borman","US0192","Rebecca","US","US13","Survivor: Cook Islands",13,34,"Laurelton","New York",10,24,10,"10th voted out","2nd jury member","Manihiki",1971-08-31,NA,"Female","Black",NA,"POC","Make-Up Artist","ISFJ",NA,3,20,"30-34",NA
"800","Rebekah Lee","US0200","Becky","US","US13","Survivor: Cook Islands",13,28,"Washington","D.C.",16,39,18,"2nd Runner-up",NA,"Puka Puka",1977-09-11,NA,"Female","Asian","Korean American","POC","Attorney","INTP",NA,0,20,"26-29",NA
"801","Reed Kelly","US0435","Reed","US","US29","Survivor: San Juan del Sur",29,31,"New York City","New York",11,29,11,"10th voted out","4th jury member","Hunahpu",1982-09-05,NA,"Male",NA,NA,"White","Broadway Performer/Model/Aerialist","ENTJ",NA,2,18,"30-34",NA
"802","Reem Daly","US0557","Reem","US","US38","Survivor: Edge of Extinction",38,46,"Ashburn","Virginia",1,3,1,"1st voted out","1st jury member","Manu",1971-07-08,NA,"Female",NA,NA,"White","Sales Representative","ESTP",NA,2,20,"45-50",NA
"803","Renier Louwrens","SA0137","Renier","SA","SA08","Survivor South Africa: Immunity Island",8,30,"Secunda","Mpumalanga",10,26,11,"11th voted out","3rd jury member","Zamba",NA,NA,"Male",NA,NA,NA,"Chemical Engineer",NA,NA,9,20,"26-29",NA
"804","Reynold Toepfer","US0394","Reynold","US","US26","Survivor: Caramoan",26,30,"San Francisco","California",12,31,13,"12th voted out","4th jury member","Gota",1982-10-06,NA,"Male",NA,NA,"White","Real Estate Sales","ESTP",NA,4,20,"26-29",NA
"805","Ricard Foye","US0596","Ricard","US","US41","Survivor: 41",41,31,"Sedro-Woolley","Washington",13,24,14,"14th voted out","7th jury member","Ua",1989-12-04,NA,"Male",NA,"Hispanic or Latino","POC","Flight Attendant","ENTJ",NA,4,18,"30-34",NA
"806","Richard Hatch","US0016","Richard","US","US08","Survivor: All-Stars",8,42,"Middletown","Rhode Island",5,15,5,"4th voted out",NA,"Mogo Mogo",1961-04-08,NA,"Male",NA,NA,"White","Corporate Trainer","ENTP",NA,3,17,"40-44",NA
"807","Richard Hatch","US0016","Richard","US","US01","Survivor: Borneo",1,39,"Newport","Rhode Island",14,39,16,"Sole Survivor",NA,"Tagi",1961-04-08,NA,"Male",NA,NA,"White","Corporate Trainer","ENTP",NA,4,16,"35-39",NA
"808","Rick Devens","US0560","Rick","US","US38","Survivor: Edge of Extinction",38,33,"Macon","Georgia",4,11,4,"4th voted out",NA,"Manu",1984-04-05,NA,"Male",NA,NA,"White","Morning News Anchor","ENTP",NA,2,20,"30-34",NA
"809","Rick Nelson","US0351","Rick","US","US23","Survivor: South Pacific",23,51,"Aurora","Utah",15,37,16,"16th voted out","8th jury member","Upolu",1959-10-24,NA,"Male",NA,NA,"White","Rancher","ISFJ",NA,2,20,"51-55",NA
"810","Rijesh Govender","SA0020","Rijesh","SA","SA02","Survivor South Africa: Malaysia",2,30,"Lyndhurst","GP",6,13,6,"6th voted out",NA,"Bajau",1977-06-22,NA,"Male",NA,NA,NA,"Sales Executive",NA,NA,2,16,"26-29",NA
"811","Rita Verreos","US0208","Rita","US","US14","Survivor: Fiji",14,38,"San Antonio","Texas",5,14,6,"5th voted out",NA,"Ravu",1968-07-19,NA,"Female","Venezuelan American","Hispanic or Latino","POC","Single Mom","ISFJ",NA,2,19,"35-39",NA
"812","Roark Luskin","US0503","Roark","US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,27,"Santa Monica","California",5,14,5,"5th voted out",NA,"Soko",1989-11-30,NA,"Female",NA,NA,"White","Social Worker","ENTP",NA,1,18,"26-29",NA
"813","Rob Cesternino","US0094","Rob C.","US","US08","Survivor: All-Stars",8,25,"Plainview","New York",4,12,4,"3rd voted out",NA,"Chapera",1978-10-20,NA,"Male",NA,NA,"White","Computer Projects Coordinator","ENTP",NA,4,17,"22-25",NA
"814","Rob Mariano","US0055","Boston Rob","US","US20","Survivor: Heroes vs. Villains",20,33,"Pensacola","Florida",7,18,8,"8th voted out",NA,"Villains",1975-12-25,NA,"Male",NA,NA,"White","Construction Worker","ESTJ",NA,5,20,"30-34",NA
"815","Rob Mariano","US0055","Boston Rob","US","US40","Survivor: Winners at War",40,43,"Pensacola","Florida",5,14,6,"6th voted out","4th jury member","Sele",1975-12-25,NA,"Male",NA,NA,"White","Construction Worker","ESTJ",NA,4,22,"40-44",NA
"816","Rob Mariano","US0055","Boston Rob","US","US08","Survivor: All-Stars",8,27,"Canton","Massachusetts",17,39,17,"Runner-up",NA,"Chapera",1975-12-25,NA,"Male",NA,NA,"White","Construction Worker","ESTJ",NA,8,17,"26-29",NA
"817","Rob Mariano","US0055","Boston Rob","US","US04","Survivor: Marquesas",4,25,"Canton","Massachusetts",7,21,7,"7th voted out",NA,"Maraamu",1975-12-25,NA,"Male",NA,NA,"White","Construction Worker","ESTJ",NA,5,16,"22-25",NA
"818","Rob Mariano","US0055","Boston Rob","US","US22","Survivor: Redemption Island",22,34,"Pensacola","Florida",15,39,20,"Sole Survivor",NA,"Ometepe",1975-12-25,NA,"Male",NA,NA,"White","Construction Worker","ESTJ",NA,1,20,"30-34",NA
"819","Robbie Skibicki","AU0061","Robbie","AU","AU03","Survivor Australia: Champions vs. Contenders",3,25,"Adelaide","SA",15,33,15,"15th voted out","1st jury member","Contenders",NA,NA,"Male",NA,NA,NA,"Construction Manager",NA,NA,2,25,"22-25",NA
"820","Robert Bentele","SA0126","Rob","SA","SA07","Survivor South Africa: Island of Secrets",7,28,"Richards Bay","Kwa Zulu Natal",18,39,21,"Sole Survivor",NA,"Sa'ula",NA,NA,"Male","Austrian/Zulu",NA,NA,"Events Videographer",NA,NA,5,21,"26-29",NA
"821","Robert Crowley","US0265","Bob","US","US17","Survivor: Gabon",17,57,"South Portland","Maine",14,39,18,"Sole Survivor",NA,"Kota",1951-02-25,NA,"Male",NA,NA,"White","Physics Teacher","INTP",NA,3,18,"56-60",NA
"822","Robert DeCanio","US0059","Robert","US","US04","Survivor: Marquesas",4,38,"College Point","New York",12,33,11,"11th voted out","4th jury member","Rotu",1963-06-19,NA,"Male",NA,NA,"White","Limousine Driver","ISTJ",NA,3,16,"35-39",NA
"823","Robert Zbacnik","US0070","Robb","US","US05","Survivor: Thailand",5,23,"Scottsdale","Arizona",6,18,6,"6th voted out",NA,"Sook Jai",1978-09-12,NA,"Male",NA,NA,"White","Bartender","ESFP",NA,6,16,"22-25",NA
"824","Roberta Saint-Amour","US0378","RC","US","US25","Survivor: Philippines",25,27,"New York City","New York",7,19,8,"7th voted out","1st jury member","Tandang",1985-05-10,NA,"Female",NA,"Jewish","White","Investment Banker","ENTJ",NA,6,18,"26-29",NA
"825","Rocco van Rooyen","SA0112","Rocco","SA","SA07","Survivor South Africa: Island of Secrets",7,26,"Cape Town","Western Cape",7,16,7,"7th voted out",NA,"Laumei",1992-12-23,NA,"Male",NA,NA,NA,"Professional Athlete",NA,NA,6,21,"26-29",NA
"826","Rocksroy Bailey","US0622","Rocksroy","US","US42","Survivor: 42",42,43,"Las Vegas","Nevada",9,17,9,"8th voted out","2nd jury member","Ika",1978-01-12,NA,"Male","Black",NA,"POC","Stay-at-home Dad","ESTJ",169,3,18,"40-44",NA
"827","Rodger Bingham","US0028","Rodger","US","US02","Survivor: The Australian Outback",2,53,"Crittenden","Kentucky",13,36,12,"11th voted out","5th jury member","Kucha",1947-07-05,NA,"Male",NA,NA,"White","Teacher/Farmer","ISFJ",NA,3,16,"51-55",NA
"828","Rodney Lavoie Jr.","US0457","Rodney","US","US30","Survivor: Worlds Apart",30,24,"Boston","Massachusetts",14,38,15,"15th voted out","8th jury member","Escameca",1989-09-02,NA,"Male",NA,NA,"White","General Contractor","ESTJ",NA,4,18,"22-25",NA
"829","Roger Sexton","US0087","Roger","US","US06","Survivor: The Amazon",6,56,"Valencia","California",7,21,7,"7th voted out",NA,"Tambaqui",1946-09-26,NA,"Male",NA,NA,"White","Construction Company V.P.","ISTJ",NA,5,15,"56-60",NA
"830","Rohan MacLauren","AU0007","Rohan","AU","AU01","Survivor Australia: 2016",1,28,"Melbourne","VIC",9,21,7,"6th voted out",NA,"Aganoa",NA,NA,"Male",NA,NA,NA,"Model",NA,NA,6,24,"26-29",NA
"831","Romeo Escobar","US0623","Romeo","US","US42","Survivor: 42",42,37,"Norwalk","California",13,26,16,"2nd runner-up",NA,"Ika",1984-05-10,NA,"Male",NA,"Hispanic or Latino","POC","Pageant Coach","ISFP",301,4,18,"35-39",NA
"832","Ron Clark","US0565","Ron","US","US38","Survivor: Edge of Extinction",38,45,"Atlanta","Georgia",11,31,13,"13th voted out","9th jury member","Kama",1971-10-24,NA,"Male",NA,NA,"White","Teacher",NA,NA,2,20,"40-44",NA
"833","Ronnie Bardah","US0571","Ronnie","US","US39","Survivor: Island of the Idols",39,36,"Henderson","Nevada",1,3,1,"1st voted out",NA,"Lairo",1982-08-29,NA,"Male","Asian, Black","Jewish","POC","Professional Poker Player","ISTP",NA,1,20,"35-39",1
"834","Rory Freeman","US0121","Rory","US","US09","Survivor: Vanuatu",9,35,"Des Moines","Iowa",8,21,9,"9th voted out",NA,"Lopevi",1968-10-30,NA,"Male","Black",NA,"POC","Housing Case Manager","INTP",NA,3,18,"30-34",NA
"835","Rose-Lee Smith","SA0109","Rose-Lee","SA","SA07","Survivor South Africa: Island of Secrets",7,33,"Johannesburg","Gauteng",4,9,4,"4th voted out",NA,"Laumei",NA,NA,"Female",NA,NA,NA,"Crime Scene Analyst",NA,NA,1,21,"30-34",NA
"836","Roxanne Morris","US0373","Roxy","US","US25","Survivor: Philippines",25,28,"Brooklyn","New York",2,6,2,"2nd voted out",NA,"Matsing",1984-06-03,NA,"Female","Black",NA,"POC","Seminary Student","ESFP",NA,1,18,"26-29",NA
"837","Roxy Burger","SA0057","Roxy","SA","SA04","Survivor South Africa: Maldives",4,24,"Johannesburg","Gauteng",7,15,9,"7th voted out","2nd jury member","Celeb",1986-12-07,NA,"Female",NA,NA,NA,"Presenter",NA,NA,3,19,"22-25",NA
"838","Rudy Boesch","US0014","Rudy","US","US08","Survivor: All-Stars",8,75,"Virginia Beach","Virginia",2,6,2,"2nd voted out",NA,"Saboga",1928-01-20,2019-11-01,"Male",NA,NA,"White","Retired Navy SEAL","ISTJ",NA,3,17,">65",NA
"839","Rudy Boesch","US0014","Rudy","US","US01","Survivor: Borneo",1,72,"Virginia Beach","Virginia",13,38,14,"14th voted out","7th jury member","Tagi",1928-01-20,2019-11-01,"Male",NA,NA,"White","Retired Navy SEAL","ISTJ",NA,4,16,">65",NA
"840","Rupert Boneham","US0107","Rupert","US","US20","Survivor: Heroes vs. Villains",20,45,"Indianapolis","Indiana",13,36,15,"15th voted out","7th jury member","Heroes",1964-01-27,NA,"Male",NA,NA,"White","Troubled Teens Mentor","ESFJ",NA,8,20,"40-44",NA
"841","Rupert Boneham","US0107","Rupert","US","US07","Survivor: Pearl Islands",7,39,"Indianapolis","Indiana",10,27,11,"10th voted out","2nd jury member","Drake",1964-01-27,NA,"Male",NA,NA,"White","Troubled Teens Mentor","ESFJ",NA,11,18,"35-39",NA
"842","Rupert Boneham","US0107","Rupert","US","US08","Survivor: All-Stars",8,39,"Indianapolis","Indiana",16,37,15,"13th voted out","6th jury member","Saboga",1964-01-27,NA,"Male",NA,NA,"White","Troubled Teens Mentor","ESFJ",NA,5,17,"35-39",NA
"843","Russell Hantz","US0300","Russell H.","US","US19","Survivor: Samoa",19,36,"Dayton","Texas",16,39,19,"Runner-up",NA,"Foa Foa",1972-10-10,NA,"Male",NA,NA,"White","Oil Company Owner","ESTJ",NA,9,20,"35-39",NA
"844","Ruth Marie Milliman","US0170","Ruth Marie","US","US12","Survivor: Panama",12,48,"Greenville","South Carolina",4,11,4,"4th voted out",NA,"Casaya",1957-04-11,NA,"Female",NA,NA,"White","Real Estate","ISFJ",NA,1,16,"45-50",NA
"845","Ryan Aiken","US0081","Ryan","US","US06","Survivor: The Amazon",6,23,"Ellicott City","Maryland",1,3,1,"1st voted out",NA,"Tambaqui",1979-02-13,NA,"Male",NA,NA,"White","Model","ESFP",NA,4,15,"22-25",1
"846","Ryan Medrano","US0643","Ryan","US","US43","Survivor: 43",43,24,"El Paso","Texas",NA,NA,NA,NA,NA,"Coco",1997-08-26,NA,"Male",NA,NA,"POC","Warehouse Associate",NA,NA,3,NA,"22-25",NA
"847","Ryan Opray","US0106","Ryan O.","US","US07","Survivor: Pearl Islands",7,30,"Los Gatos","California",9,24,10,"9th voted out","1st jury member","Morgan",1972-08-06,NA,"Male",NA,NA,"White","Electrician","ISFJ",NA,3,18,"26-29",NA
"848","Ryan Shoulders","US0098","Ryan S.","US","US07","Survivor: Pearl Islands",7,23,"Clarksville","Tennessee",2,6,2,"2nd voted out",NA,"Morgan",1980-03-28,NA,"Male",NA,NA,"White","Produce Clerk","INFP",NA,8,18,"22-25",NA
"849","Ryan Ulrich","US0514","Ryan","US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,23,"North Arlington","New Jersey",14,39,16,"2nd runner-up",NA,"Yawa",1993-09-08,NA,"Male",NA,NA,"White","Bellhop","ENFP",NA,6,18,"22-25",NA
"850","Sabrina Thompson","US0370","Sabrina","US","US24","Survivor: One World",24,33,"Brooklyn","New York",15,39,17,"Runner-up",NA,"Salani",1978-03-06,NA,"Female","Black",NA,"POC","High School Teacher","ENFJ",NA,9,17,"30-34",NA
"851","Sade Giliberti","SA0045","Sade","SA","SA03","Survivor South Africa: Santa Carolina",3,24,"Johannesburg","Gauteng",13,26,15,"13th voted out","7th jury member","Chibudu",1985-04-17,NA,"Female",NA,NA,NA,"Presenter",NA,NA,4,18,"22-25",NA
"852","Sally Schumann","US0175","Sally","US","US12","Survivor: Panama",12,27,"Chicago","Illinois",10,24,9,"9th voted out","2nd jury member","Bayoneta",1978-12-10,NA,"Female",NA,NA,"White","Social Worker","INFP",NA,2,16,"26-29",NA
"853","Sam Allerton","SA0002","Sam","SA","SA01","Survivor South Africa: Panama",1,30,"Hogsback","Eastern Cape",2,6,2,"2nd voted out",NA,"Aguila",1976-12-08,NA,"Male",NA,NA,NA,"Sculptor",NA,NA,6,16,"26-29",NA
"854","Sam Schoers","AU0078","Sam","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,30,"Perth","WA",7,16,7,"7th voted out",NA,"Contenders",NA,NA,"Female",NA,NA,NA,"VIP Gaming Manager",NA,NA,0,25,"26-29",NA
"855","Sam Webb","AU0019","Sam","AU","AU01","Survivor Australia: 2016",1,28,"Sydney","NSW",23,49,19,"18th voted out","6th jury member","Saanapu",NA,NA,"Male",NA,NA,NA,"Charity CEO",NA,NA,4,24,"26-29",NA
"856","Samantha Gash","AU0030","Sam","AU","AU07","Survivor Australia: Blood vs. Water",7,37,"Melbourne","Victoria",20,NA,21,"19th voted out","6th jury member","Blood",1984-10-14,NA,"Female",NA,NA,NA,"Endurance Athlete","ENFJ",NA,1,28,"35-39",NA
"857","Samantha Gash","AU0030","Sam","AU","AU02","Survivor Australia: 2017",2,32,"Melbourne","VIC",6,16,6,"6th voted out",NA,"Asaga",1984-10-14,NA,"Female",NA,NA,NA,"Endurance Athlete","ENFJ",NA,4,24,"30-34",NA
"858","Sami Layadi","US0644","Sami","US","US43","Survivor: 43",43,19,"Las Vegas","Nevada",NA,NA,NA,NA,NA,"Baka",2002-10-13,NA,"Male",NA,NA,"POC","Pet Cremator",NA,NA,6,NA,"18-21",NA
"859","Samuel Hinton","AU0062","Samuel","AU","AU03","Survivor Australia: Champions vs. Contenders",3,26,"Brisbane","QLD",16,35,16,"16th voted out","2nd jury member","Champions",NA,NA,"Male",NA,NA,NA,"Astrophysicist",NA,NA,3,25,"26-29",NA
"860","Sandi Schultz","SA0038","Sandi","SA","SA03","Survivor South Africa: Santa Carolina",3,45,"Johannesburg","Gauteng",6,14,8,"6th voted out",NA,"Timbila",1964-01-19,NA,"Female",NA,NA,NA,"Actress",NA,NA,2,18,"40-44",NA
"861","Sandra Diaz-Twine","US0112","Sandra","US","US20","Survivor: Heroes vs. Villains",20,35,"Fayetteville","North Carolina",15,39,20,"Sole Survivor",NA,"Villains",1974-07-30,NA,"Female",NA,"Hispanic or Latino","POC","Office Assistant;Case Manager","ESTP",NA,3,20,"30-34",NA
"862","Sandra Diaz-Twine","US0112","Sandra","US","US07","Survivor: Pearl Islands",7,29,"Fort Lewis","Washington",15,39,18,"Sole Survivor",NA,"Drake",1974-07-30,NA,"Female",NA,"Hispanic or Latino","POC","Office Assistant;Case Manager","ESTP",NA,9,18,"26-29",NA
"863","Sandra Diaz-Twine","US0112","Sandra","US","US34","Survivor: Game Changers",34,41,"Fayetteville","North Carolina",5,16,6,"6th voted out",NA,"Mana",1974-07-30,NA,"Female",NA,"Hispanic or Latino","POC","Office Assistant;Case Manager","ESTP",NA,9,20,"40-44",NA
"864","Sandra Diaz-Twine","US0112","Sandra","US","US40","Survivor: Winners at War",40,44,"Riverview","Florida",6,16,8,"8th voted out",NA,"Dakal",1974-07-30,NA,"Female",NA,"Hispanic or Latino","POC","Office Assistant;Case Manager","ESTP",NA,6,22,"40-44",NA
"865","Sandra Diaz-Twine","US0112","Sandra","AU","AU07","Survivor Australia: Blood vs. Water",7,47,"Riverview","Florida",7,NA,7,"6th voted out",NA,"Blood",1974-07-30,NA,"Female",NA,"Hispanic or Latino","POC","Office Assistant;Case Manager","ESTP",NA,3,28,"45-50",NA
"866","Sandy Burgin","US0269","Sandy","US","US18","Survivor: Tocantins",18,53,"Louisville","Kentucky",4,12,4,"4th voted out",NA,"Jalapao",1955-07-01,NA,"Female",NA,NA,"White","Bus Driver","ESFP",NA,2,16,"51-55",NA
"867","Sara Wilson","US0592","Sara","US","US41","Survivor: 41",41,24,"Boston","Massachusetts",1,3,2,"2nd voted out",NA,"Ua",1997-06-28,NA,"Female",NA,NA,"White","Healthcare Consultant","INTJ",NA,4,18,"22-25",NA
"868","Sarah Ayles","AU0079","Sarah","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,45,"Adelaide","SA",8,18,8,"8th voted out",NA,"Contenders",NA,NA,"Female",NA,NA,NA,"Cleaner",NA,NA,1,25,"40-44",NA
"869","Sarah Dawson","US0376","Dawson","US","US25","Survivor: Philippines",25,28,"Silver Spring","Maryland",5,13,6,"5th voted out",NA,"Kalabaw",1983-11-15,NA,"Female","Black",NA,"POC","Insurance Sales","ENFP",NA,2,18,"26-29",NA
"870","Sarah Jones","US0052","Sarah","US","US04","Survivor: Marquesas",4,24,"Newport Beach","California",4,12,4,"4th voted out",NA,"Maraamu",1977-08-11,NA,"Female",NA,NA,"White","Account Manager","ISFP",NA,2,16,"22-25",NA
"871","Sarah Lacina","US0414","Sarah","US","US28","Survivor: Cagayan",28,29,"Cedar Rapids","Iowa",6,19,8,"7th voted out","1st jury member","Aparri",1984-07-09,NA,"Female",NA,NA,"White","Police Officer","ENTJ",NA,6,18,"26-29",NA
"872","Sarah Lacina","US0414","Sarah","US","US34","Survivor: Game Changers",34,32,"Marion","Iowa",14,39,20,"Sole Survivor",NA,"Nuku",1984-07-09,NA,"Female",NA,NA,"White","Police Officer","ENTJ",NA,2,20,"30-34",NA
"873","Sarah Tilleke","AU0041","Sarah","AU","AU02","Survivor Australia: 2017",2,22,"Perth","WA",20,44,17,"17th voted out","4th jury member","Asaga",NA,NA,"Female",NA,NA,NA,"Model",NA,NA,4,24,"22-25",NA
"874","Sarita White","US0327","Sarita","US","US22","Survivor: Redemption Island",22,36,"Santa Monica","California",7,18,7,"7th voted out",NA,"Zapatera",1974-10-02,NA,"Female",NA,NA,"White","Visual Effects Producer","INTP",NA,0,20,"35-39",NA
"875","Scot Pollard","US0471","Scot","US","US32","Survivor: Kaoh Rong",32,40,"Carmel","Indiana",10,27,11,"9th voted out","4th jury member","To Tang",1975-02-12,NA,"Male",NA,NA,"White","Former NBA Champion","ESTJ",NA,5,18,"35-39",NA
"876","Scout Cloud Lee","US0128","Scout","US","US09","Survivor: Vanuatu",9,59,"Stillwater","Oklahoma",14,38,16,"16th voted out","7th jury member","Yasur",1944-11-08,NA,"Female",NA,NA,"White","Rancher","INFJ",NA,4,18,"56-60",NA
"877","Seamus Holmes","SA0088","Seamus","SA","SA06","Survivor South Africa: Philippines",6,25,"Durban","Kwa Zulu Natal",1,3,1,"1st voted out",NA,"Luzon",NA,NA,"Male",NA,NA,NA,"Property Broker",NA,NA,11,18,"22-25",1
"878","Seamus Holmes","SA0088","Seamus","SA","SA09","Survivor South Africa: Return of the Outcasts",9,29,"Durban","KZN",6,11,5,"5th voted out",NA,"Yontau",NA,NA,"Male",NA,NA,NA,"Property Broker",NA,NA,7,20,"26-29",NA
"879","Sean Kenniff","US0012","Sean","US","US01","Survivor: Borneo",1,30,"Carle Place","New York",12,36,12,"12th voted out","5th jury member","Tagi",1969-11-27,NA,"Male",NA,NA,"White","Doctor","INTP",NA,1,16,"26-29",NA
"880","Sean Rector","US0060","Sean","US","US04","Survivor: Marquesas",4,30,"Los Angeles","California",13,36,12,"12th voted out","5th jury member","Maraamu",1971-08-20,NA,"Male","Black",NA,"POC","Teacher","ENTP",NA,6,16,"26-29",NA
"881","Sean September","SA0062","Sean","SA","SA04","Survivor South Africa: Maldives",4,40,"Cape Town","Western Cape",11,23,14,"12th voted out","7th jury member","Pleb",NA,NA,"Male",NA,NA,NA,"Lawyer",NA,NA,3,19,"35-39",NA
"882","Sebastian Noel","US0531","Sebastian","US","US36","Survivor: Ghost Island",36,22,"Satellite Beach","Florida",13,36,15,"15th voted out","8th jury member","Naviti",1994-07-20,NA,"Male",NA,NA,"White","Fishing Guide","ESFP",NA,1,20,"22-25",NA
"883","Seipei Mashugane","SA0116","Seipei","SA","SA07","Survivor South Africa: Island of Secrets",7,40,"Soweto","Gauteng",11,26,11,"11th voted out","3rd jury member","Sa'ula",NA,NA,"Female","Soweto",NA,NA,"Entrepreneur/Biker Queen",NA,NA,7,21,"35-39",NA
"884","Sekou Bunch","US0183","Sekou","US","US13","Survivor: Cook Islands",13,45,"Los Angeles","California",1,3,1,"1st voted out",NA,"Manihiki",1960-09-09,NA,"Male","Black",NA,"POC","Jazz Musician","ESFJ",NA,3,20,"40-44",NA
"885","Semhar Tadesse","US0338","Semhar","US","US23","Survivor: South Pacific",23,24,"Los Angeles","California",1,3,1,"1st voted out",NA,"Savaii",1986-09-12,NA,"Female","Black","Eritrean","POC","Spoken Word Artist","ENFP",NA,3,20,"22-25",1
"886","Shane Gould","AU0071","Shane","AU","AU03","Survivor Australia: Champions vs. Contenders",3,61,"Bicheno","Tasmania",24,50,25,"Sole Survivor",NA,"Champions",1956-11-23,NA,"Female",NA,NA,NA,"Olympic Swimming Legend",NA,NA,2,25,"61-65",NA
"887","Shane Gould","AU0071","Shane","AU","AU05","Survivor Australia: All Stars",5,62,"Bicheno","Tasmania",1,2,1,"1st voted out",NA,"Mokuta",1956-11-23,NA,"Female",NA,NA,NA,"Olympic Swimming Legend",NA,NA,5,24,"61-65",1
"888","Shane Hattingh","SA0081","Shane","SA","SA09","Survivor South Africa: Return of the Outcasts",9,50,"Brynston","GP",23,38,19,"Runner-up",NA,"Masu",NA,NA,"Male",NA,NA,NA,"Media Salesman",NA,NA,5,20,"45-50",NA
"889","Shane Hattingh","SA0081","Shane","SA","SA05","Survivor South Africa: Champions",5,42,"Bryanston","Gauteng",14,22,14,"14th voted out","5th jury member","Utara",NA,NA,"Male",NA,NA,NA,"Media Salesman",NA,NA,5,20,"40-44",NA
"890","Shane Powers","US0178","Shane","US","US12","Survivor: Panama",12,34,"Los Angeles","California",13,33,12,"11th voted out","5th jury member","La Mina",1970-11-28,NA,"Male",NA,NA,"White","Marketing Executive","ESFP",NA,2,16,"30-34",NA
"891","Shannon Elkins","US0303","Shannon","US","US21","Survivor: Nicaragua",21,30,"Lafayette","Louisiana",2,6,2,"2nd voted out",NA,"La Flor",1979-12-04,NA,"Male",NA,NA,"White","Pest Control Company Owner","ESTJ",NA,5,20,"26-29",NA
"892","Shannon Lawson","AU0103","Shannon","AU","AU06","Survivor Australia: Brains vs. Brawn",6,30,"Sydney","NSW",9,19,8,"8th voted out",NA,"Brawn",NA,NA,"Female",NA,NA,NA,"Model",NA,NA,3,26,"26-29",NA
"893","Shannon Quinn","NZ0012","Shannon","NZ","NZ01","Survivor NZ: Nicaragua",1,24,"Christchurch",NA,14,28,12,"11th voted out","3rd jury member","Hermosa",NA,NA,"Female","European/Maori",NA,NA,"Zookeeper",NA,NA,4,19,"22-25",NA
"894","Shannon Waters","US0296","Shambo","US","US19","Survivor: Samoa",19,45,"Renton","Washington",14,36,15,"13th voted out","7th jury member","Galu",1964-04-25,NA,"Female",NA,NA,"White","Sales","ESFP",NA,6,20,"40-44",NA
"895","Shantel Smith","US0606","Shan","US","US41","Survivor: 41",41,34,"Washington","D.C.",10,19,11,"11th voted out","4th jury member","Ua",1987-03-11,NA,"Female","Black",NA,"POC","Pastor","ENFJ",NA,4,18,"30-34",NA
"896","Sharn Coombes","AU0070","Sharn","AU","AU03","Survivor Australia: Champions vs. Contenders",3,41,"Melbourne","VIC",24,50,24,"Runner-up",NA,"Champions",NA,NA,"Female",NA,NA,NA,"Criminal Barrister",NA,NA,0,25,"40-44",NA
"897","Sharn Coombes","AU0070","Sharn","AU","AU05","Survivor Australia: All Stars",5,42,"Melbourne","Victoria",24,50,23,"Runner-up",NA,"Mokuta",NA,NA,"Female",NA,NA,NA,"Criminal Barrister",NA,NA,0,24,"40-44",NA
"898","Shaun Hampson","AU0085","Shaun","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,31,"Moonee Ponds","VIC",15,32,14,"13th voted out","1st jury member","Contenders",1988-03-21,NA,"Male",NA,NA,NA,"Retired AFL Player",NA,NA,1,25,"30-34",NA
